subregion,n
delaware,180
delta,31
denali borough,4
dent,10
denton,46
denver,64
des moines,12
deschutes,11
desha,9
desoto,16
deuel,13
dewey,16
dewitt,9
dickens,5
dickenson,13
dickey,10
dickinson,37
dickson,13
dillingham census area,7
dillon,11
dimmit,5
dinwiddie,12
district of columbia,219
divide,9
dixie,6
dixon,13
doddridge,8
dodge,67
dolores,3
dona ana,29
doniphan,10
donley,5
dooly,9
door,14
dorado municipio,3
dorchester,35
dougherty,13
douglas,210
drew,8
dubois,15
dubuque,23
duchesne,12
dukes,7
dundy,6
dunklin,15
dunn,41
dupage,56
duplin,19
durham,23
dutchess,40
duval,58
dyer,12
eagle,16
early,8
east baton rouge parish,41
east carroll parish,4
east feliciana parish,7
eastland,12
eaton,21
eau claire,16
echols,5
ector,14
eddy,17
edgar,16
edgecombe,17
edgefield,11
edmonson,12
edmunds,10
edwards,17
effingham,26
el dorado,28
el paso,127
elbert,20
elk,28
elkhart,19
elko,16
elliott,6
ellis,39
ellsworth,10
elmore,23
emanuel,15
emery,10
emmet,22
emmons,10
emporia city,1
erath,14
erie,151
escambia,38
esmeralda,3
essex,163
estill,5
etowah,17
eureka,3
evangeline parish,14
evans,10
fairbanks north star borough,13
fairfax,84
fairfax city,4
fairfield,102
fajardo municipio,3
fall river,6
fallon,4
falls,16
falls church city,6
fannin,29
faribault,16
faulk,11
faulkner,17
fauquier,28
fayette,269
fentress,10
fergus,13
ferry,9
fillmore,31
finney,8
fisher,8
flagler,10
flathead,20
fleming,9
florence,22
florida municipio,3
floyd,97
fluvanna,9
foard,3
fond du lac,26
ford,34
forest,21
forrest,12
forsyth,53
fort bend,38
foster,7
fountain,11
franklin,436
franklin city,1
franklin parish,11
frederick,51
fredericksburg city,5
freeborn,19
freestone,9
fremont,55
fresno,103
frio,5
frontier,10
fulton,183
furnas,10
gadsden,7
gage,21
gaines,4
galax city,1
gallatin,31
gallia,13
galveston,23
garden,11
garfield,54
garland,15
garrard,6
garrett,13
garvin,15
garza,2
gasconade,12
gaston,20
gates,8
geary,10
geauga,24
gem,8
genesee,62
geneva,16
gentry,11
george,3
georgetown,6
gibson,33
gila,12
gilchrist,5
giles,27
gillespie,8
gilliam,4
gilmer,23
gilpin,4
glacier,5
glades,5
gladwin,7
glascock,5
glasscock,2
glenn,8
gloucester,48
glynn,10
gogebic,6
golden valley,8
goliad,7
gonzales,13
goochland,17
goodhue,17
gooding,8
gordon,12
goshen,13
gosper,10
gove,6
grady,27
grafton,41
graham,23
grainger,10
grand,14
grand forks,24
grand isle,5
grand traverse,14
granite,5
grant,181
grant parish,8
granville,12
gratiot,25
graves,20
gray,18
grays harbor,22
grayson,45
greeley,11
green,26
green lake,13
greenbrier,22
greene,238
greenlee,4
greensville,6
greenup,13
greenville,37
greenwood,23
greer,5
gregg,17
gregory,7
grenada,11
griggs,10
grimes,12
grundy,56
guadalupe,22
guam,4
guanica municipio,2
guayama municipio,4
guayanilla municipio,2
guaynabo municipio,14
guernsey,22
guilford,52
gulf,2
gunnison,13
gurabo municipio,5
guthrie,17
gwinnett,39
haakon,5
habersham,9
haines borough,1
hale,17
halifax,27
hall,47
hamblen,10
hamilton,206
hamlin,13
hampden,56
hampshire,52
hampton,14
hampton city,15
hancock,159
hand,10
hanover,15
hansford,4
hanson,9
haralson,7
hardee,5
hardeman,15
hardin,83
harding,17
hardy,12
harford,25
harlan,37
harmon,5
harnett,20
harney,9
harper,15
harris,242
harrison,135
harrisonburg city,4
hart,19
hartford,107
hartley,3
harvey,13
haskell,22
hatillo municipio,2
hawaii,32
hawkins,12
hayes,7
hays,18
haywood,22
heard,6
hemphill,2
hempstead,12
henderson,76
hendricks,22
hendry,7
hennepin,87
henrico,21
henry,147
herkimer,30
hernando,16
hertford,8
hettinger,4
hickman,22
hickory,8
hidalgo,37
highland,23
highlands,13
hill,28
hillsborough,130
hillsdale,24
hinds,36
hinsdale,3
hitchcock,7
hocking,17
hockley,11
hodgeman,8
hoke,9
holmes,35
holt,22
honolulu,61
hood,10
hood river,4
hooker,2
hoonah-angoon census area,6
hopewell city,1
hopkins,26
hormigueros municipio,2
horry,21
hot spring,14
hot springs,3
houghton,19
houston,54
howard,92
howell,13
hubbard,12
hudson,22
hudspeth,4
huerfano,4
hughes,13
humacao municipio,3
humboldt,65
humphreys,13
hunt,20
hunterdon,35
huntingdon,37
huntington,12
huron,34
hutchinson,22
hyde,12
iberia parish,12
iberville parish,9
ida,12
idaho,14
imperial,19
independence,21
indian river,16
indiana,55
ingham,29
inyo,12
ionia,21
iosco,13
iowa,46
iredell,21
irion,4
iron,46
iroquois,28
irwin,9
isabela municipio,3
isabella,19
isanti,15
island,8
isle of wight,12
issaquena,6
itasca,33
itawamba,12
izard,19
jack,11
jackson,399
jackson parish,9
james city,6
jasper,118
jay,11
jayuya municipio,1
jeff davis,6
jefferson,559
jefferson davis,10
jefferson davis parish,11
jefferson parish,34
jenkins,6
jennings,14
jerauld,4
jerome,5
jersey,12
jessamine,6
jewell,11
jim hogg,3
jim wells,7
jo daviess,15
johnson,199
johnston,39
jones,65
josephine,13
juab,4
juana diaz municipio,3
judith basin,9
juncos municipio,2
juneau,16
juneau city and borough,3
juniata,15
kalamazoo,34
kalawao,1
kalkaska,8
kanabec,9
kanawha,78
kandiyohi,19
kane,50
kankakee,22
karnes,9
kauai,17
kaufman,16
kay,13
kearney,13
kearny,3
keith,9
kemper,11
kenai peninsula borough,15
kendall,31
kenedy,2
kennebec,41
kenosha,25
kent,101
kenton,15
keokuk,21
kern,66
kerr,13
kershaw,14
ketchikan gateway borough,2
kewaunee,6
keweenaw,7
keya paha,2
kidder,15
kimball,4
kimble,7
king,122
king and queen,15
king george,8
king william,6
kingfisher,8
kingman,11
kings,64
kingsbury,12
kinney,2
kiowa,18
kit carson,6
kitsap,27
kittitas,13
kittson,10
klamath,19
kleberg,2
klickitat,18
knott,25
knox,168
kodiak island borough,6
koochiching,15
kootenai,16
kosciusko,24
kossuth,20
la crosse,15
la paz,8
la plata,8
la salle,4
la salle parish,8
labette,13
lac qui parle,11
lackawanna,38
laclede,14
lafayette,52
lafayette parish,22
lafourche parish,15
lagrange,15
lajas municipio,2
lake,209
lake and peninsula borough,12
lake of the woods,5
lamar,41
lamb,10
lamoille,17
lamoure,14
lampasas,7
lancaster,145
lander,2
lane,45
langlade,15
lanier,6
lapeer,22
laporte,16
laramie,16
lares municipio,2
larimer,32
larue,9
las animas,13
las marias municipio,1
las piedras municipio,1
lasalle,34
lassen,16
latah,13
latimer,9
lauderdale,29
laurel,14
laurens,33
lavaca,9
lawrence,148
le flore,23
le sueur,13
lea,12
leake,9
leavenworth,13
lebanon,24
lee,192
leelanau,12
leflore,13
lehigh,40
lemhi,12
lenawee,24
lenoir,10
leon,33
leslie,24
letcher,26
levy,14
lewis,98
lewis and clark,17
lexington,21
lexington city,1
liberty,35
licking,34
limestone,8197
lincoln,301
lincoln parish,11
linn,87
lipscomb,5
litchfield,48
little river,6
live oak,11
livingston,107
livingston parish,17
llano,10
logan,139
loiza municipio,3
long,4
lonoke,14
lorain,25
los alamos,2
los angeles,496
loudon,10
loudoun,35
louisa,28
loup,4
love,8
loving,1
lowndes,36
lubbock,37
lucas,52
luce,2
lumpkin,6
luna,3
lunenburg,13
luquillo municipio,1
luzerne,67
lycoming,34
lyman,8
lynchburg city,9
lynn,9
lyon,57
mackinac,14
macomb,44
macon,88
macoupin,32
madera,19
madison,310
madison parish,4
magoffin,6
mahaska,19
mahnomen,9
mahoning,42
major,9
malheur,14
manassas city,2
manassas park city,3
manatee,32
manati municipio,5
manistee,16
manitowoc,22
marathon,32
marengo,19
maricao municipio,1
maricopa,193
maries,10
marin,41
marinette,17
marion,319
mariposa,13
marlboro,7
marquette,31
marshall,159
martin,67
martinsville city,1
mason,72
massac,8
matagorda,16
matanuska-susitna borough,11
mathews,17
maui,18
maunabo municipio,1
maury,13
maverick,4
mayaguez municipio,6
mayes,17
mcclain,13
mccone,7
mccook,12
mccormick,11
mccracken,9
mccreary,8
mcculloch,6
mccurtain,17
mcdonald,15
mcdonough,19
mcdowell,46
mcduffie,7
mchenry,48
mcintosh,23
mckean,21
mckenzie,10
mckinley,22
mclean,70
mclennan,36
mcleod,16
mcminn,13
mcmullen,4
mcnairy,15
mcpherson,24
meade,36
meagher,4
mecklenburg,85
mecosta,17
medina,43
meeker,14
meigs,25
mellette,3
menard,15
mendocino,30
menifee,7
menominee,20
merced,27
mercer,147
meriwether,12
merrick,10
merrimack,39
mesa,20
metcalfe,10
miami,52
miami-dade,124
middlesex,202
midland,36
mifflin,15
milam,14
millard,11
mille lacs,12
miller,29
mills,18
milwaukee,46
miner,9
mineral,24
mingo,21
minidoka,5
minnehaha,31
missaukee,9
mississippi,28
missoula,19
mitchell,38
mobile,51
moca municipio,3
modoc,12
moffat,7
mohave,31
moniteau,16
monmouth,62
mono,8
monona,15
monongalia,25
monroe,319
montague,11
montcalm,26
monterey,38
montezuma,8
montgomery,482
montmorency,5
montour,10
montrose,12
moody,11
moore,39
mora,12
morehouse parish,8
morgan,132
morovis municipio,4
morrill,7
morris,80
morrison,24
morrow,28
morton,12
motley,6
moultrie,9
mountrail,14
mower,19
muhlenberg,17
multnomah,65
murray,32
muscatine,15
muscogee,18
muskegon,21
muskingum,23
muskogee,16
musselshell,5
nacogdoches,12
naguabo municipio,3
nance,9
nantucket,3
napa,16
naranjito municipio,1
nash,15
nassau,91
natchitoches parish,24
natrona,14
navajo,28
navarro,17
nelson,43
nemaha,28
neosho,12
neshoba,8
ness,7
nevada,27
new castle,47
new hanover,15
new haven,81
new kent,7
new london,39
new madrid,17
new york,129
newaygo,22
newberry,11
newport,9
newport news city,15
newton,78
nez perce,10
niagara,26
nicholas,31
nicollet,11
niobrara,5
noble,45
nobles,18
nodaway,18
nolan,6
nome census area,14
norfolk,58
norfolk city,20
norman,16
north slope borough,9
northampton,59
northumberland,39
northwest arctic borough,11
norton,5
norton city,1
nottoway,8
nowata,8
noxubee,7
nuckolls,12
nueces,39
nye,11
o'brien,16
oakland,92
obion,15
ocean,34
oceana,12
ochiltree,3
oconee,24
oconto,20
ogemaw,10
ogle,28
oglethorpe,10
ohio,32
okaloosa,17
okanogan,23
okeechobee,3
okfuskee,9
oklahoma,83
okmulgee,12
oktibbeha,11
oldham,17
oliver,5
olmsted,22
oneida,80
onondaga,70
onslow,18
ontario,30
ontonagon,11
orange,374
orangeburg,25
oregon,5
orleans,48
orleans parish,45
orocovis municipio,2
osage,56
osborne,11
osceola,43
oscoda,8
oswego,31
otero,27
otoe,22
otsego,55
ottawa,74
otter tail,37
ouachita,8
ouachita parish,21
ouray,3
outagamie,27
overton,14
owen,26
owsley,7
owyhee,8
oxford,36
ozark,21
ozaukee,14
pacific,17
page,22
palm beach,76
palo alto,16
palo pinto,12
pamlico,11
panola,28
park,31
parke,14
parker,21
parmer,5
pasco,44
pasquotank,3
passaic,44
patillas municipio,1
patrick,16
paulding,27
pawnee,29
payette,5
payne,17
peach,4
pearl river,7
pecos,6
pembina,14
pemiscot,14
pend oreille,8
pender,13
pendleton,18
pennington,28
penobscot,50
penuelas municipio,1
peoria,50
pepin,7
perkins,17
perquimans,6
perry,130
pershing,4
person,10
petersburg census area,3
petersburg city,5
petroleum,3
pettis,18
phelps,24
philadelphia,62
phillips,35
piatt,17
pickaway,20
pickens,37
pickett,5
pierce,126
pike,156
pima,71
pinal,34
pine,18
pinellas,71
pipestone,8
piscataquis,15
pitkin,8
pitt,23
pittsburg,21
pittsylvania,21
piute,6
placer,34
plaquemines parish,9
platte,41
pleasants,5
plumas,19
plymouth,84
pocahontas,32
poinsett,12
pointe coupee parish,17
polk,258
ponce municipio,13
pondera,6
pontotoc,28
pope,39
poquoson city,1
portage,51
porter,16
portsmouth city,9
posey,8
pottawatomie,30
pottawattamie,26
potter,41
powder river,6
powell,17
power,4
poweshiek,17
powhatan,5
prairie,19
pratt,11
preble,18
prentiss,8
presidio,3
presque isle,9
preston,17
price,14
prince edward,12
prince george,8
prince george's,70
prince of wales-hyder census area,8
prince william,24
providence,47
prowers,6
pueblo,21
pulaski,120
pushmataha,12
putnam,133
quay,11
quebradillas municipio,2
queen anne's,18
queens,81
quitman,13
rabun,9
racine,20
radford city,5
rains,5
raleigh,52
ralls,10
ramsey,45
randall,16
randolph,120
rankin,20
ransom,11
rapides parish,36
rappahannock,10
ravalli,10
rawlins,6
ray,12
reagan,2
real,4
red lake,8
red river,9
red river parish,5
red willow,8
redwood,23
reeves,5
refugio,5
reno,23
rensselaer,34
renville,25
republic,13
reynolds,11
rhea,7
rice,30
rich,4
richardson,9
richland,119
richland parish,8
richmond,49
richmond city,27
riley,15
rincon municipio,1
ringgold,12
rio arriba,30
rio blanco,4
rio grande,7
