timestamp,open,high,low,close,volume
2019-11-11,78.9800,79.0100,73.1100,74.6100,4805416
2019-10-31,79.3900,79.4600,73.2900,78.6200,13698500
2019-09-30,81.9000,84.7400,76.8500,79.3600,10326000
2019-08-30,79.1000,84.5000,77.0700,82.4400,14104400
2019-07-31,80.3400,82.9900,79.0400,80.1600,13209200
2019-06-28,74.2200,83.2200,74.1500,79.6600,15718200
2019-05-31,74.8852,77.5000,72.2230,74.2200,15610100
2019-04-30,75.6400,77.3600,73.6900,74.6300,12049000
2019-03-29,71.9900,76.3100,70.0300,75.1000,12848800
2019-02-28,68.5000,71.7700,64.1100,71.4500,20244400
2019-01-31,63.4100,71.4750,62.0900,68.3900,19315400
2018-12-31,74.6100,75.2900,61.6900,64.1200,15156500
2018-11-30,73.0600,75.1200,69.6630,74.0000,15738500
2018-10-31,73.8000,74.8700,69.2300,72.5600,20046200
2018-09-28,73.0800,77.1300,72.2500,73.7200,15849900
2018-08-31,69.4200,73.0000,68.8000,72.8900,12850300
2018-07-31,68.8209,73.4900,68.3550,69.6300,21700500
2018-06-29,64.2500,70.5500,63.7600,69.0700,21660900
2018-05-31,60.9400,66.9100,60.7500,64.0300,22890700
2018-04-30,59.6000,62.4000,57.3300,60.9600,24075100
2018-03-29,59.6000,61.3914,58.0500,59.6900,23319200
2018-02-28,64.2100,65.0800,56.7700,59.8900,30528800
2018-01-31,65.0000,68.4500,62.8500,64.6500,17985900
2017-12-29,59.7700,65.7304,58.6100,64.4700,15229900
2017-11-30,59.3500,59.7100,55.6053,59.7000,19835000
2017-10-31,53.0000,60.6600,52.6600,59.0700,40503000
2017-09-29,51.6400,53.8400,51.0050,53.0800,20208800
2017-08-31,53.1200,54.9300,50.8900,51.5600,21559100
2017-07-31,55.2800,55.8000,51.9300,53.0300,27663000
2017-06-30,58.4700,59.7000,53.6700,55.1200,27873800
2017-05-31,57.3800,58.7600,54.0100,58.5100,26964100
2017-04-28,54.6800,57.0800,51.4900,55.8600,27136700
2017-03-31,55.2484,58.4300,53.5000,54.6800,25946900
2017-02-28,52.0216,56.3000,50.5400,55.0100,31762100
2017-01-31,52.7200,53.1400,50.2600,51.8700,25062500
2016-12-30,54.3100,56.1300,52.3100,52.4400,22511100
2016-11-30,48.5100,54.4700,46.5500,54.2900,24204600
2016-10-31,51.9000,52.3000,47.3200,48.3600,30907900
2016-09-30,49.0400,52.2200,47.5200,52.0800,24981900
2016-08-31,45.3800,49.8500,43.8100,48.9500,33880000
2016-07-29,43.5700,47.9500,42.0800,45.3100,33102300
2016-06-30,43.1000,45.8950,41.2900,43.6200,34004400
2016-05-31,46.7100,47.5200,43.0000,43.2900,30661700
2016-04-29,47.0200,49.5900,45.9300,46.5000,30092700
2016-03-31,46.8320,48.2900,44.4400,47.1700,25632100
2016-02-29,39.2000,47.0800,38.7510,46.5800,49930900
2016-01-29,41.9000,42.0190,36.4400,39.3600,43424000
2015-12-31,42.2000,43.6200,40.8100,42.5900,33629200
2015-11-30,41.4200,43.4200,40.3000,42.4200,21975400
2015-10-30,44.9400,45.0000,39.2900,41.4100,50622600
2015-09-30,48.7200,50.6400,47.2100,49.0000,32412100
2015-08-31,54.0100,55.3400,46.5000,50.1600,28994100
2015-07-31,55.2800,56.7912,52.9100,53.8900,30957400
2015-06-30,53.5300,55.6000,51.4400,55.0000,27252700
2015-05-29,51.6550,53.7200,50.3600,53.3600,30608600
2015-04-30,47.4200,54.6000,46.8900,52.1100,62066100
2015-03-31,46.4000,48.6900,45.3700,47.5600,29169200
2015-02-27,47.2000,48.5000,45.3100,46.8600,28975500
2015-01-30,42.9100,47.9300,41.7200,47.3100,36322800
2014-12-31,48.4400,48.8700,41.5500,42.6500,39927000
2014-11-28,45.5600,49.0000,45.0800,48.3500,16644100
2014-10-31,44.6800,47.1630,43.6000,45.4800,30004100
2014-09-30,43.9796,47.9390,43.6100,44.8200,29459300
2014-08-29,42.4900,44.9300,42.4900,43.5400,18934100
2014-07-31,45.8100,46.4500,40.5000,42.8600,34941200
2014-06-30,45.0500,46.7300,43.1800,45.8100,24213600
2014-05-30,45.5000,45.9000,43.6700,44.7600,25773500
2014-04-30,50.2504,50.9900,45.3200,45.5100,26268200
2014-03-31,51.2500,53.0500,48.7200,50.1800,17181400
2014-02-28,46.5300,51.9080,45.8900,51.6700,23167800
2014-01-31,48.3500,48.5600,45.4300,46.5300,20077500
2013-12-31,48.9500,49.1700,45.9000,48.2000,16608100
2013-11-29,47.9700,49.4800,46.5750,48.9800,19971200
2013-10-31,45.2100,49.4000,43.9089,47.6800,37480600
2013-09-30,43.4800,46.5000,42.3100,45.2600,18380100
2013-08-30,43.4400,45.2500,42.4500,43.0900,11828700
2013-07-31,42.9900,45.0000,40.5100,43.2000,23007900
2013-06-28,39.6100,43.5200,38.7300,42.8200,21809800
2013-05-31,39.3400,42.8300,38.3800,39.6000,20161500
2013-04-30,36.9500,39.7825,36.6700,38.8050,24642300
2013-03-28,36.9544,38.8300,36.3700,36.8790,17035600
2013-02-28,37.0950,38.2800,35.9200,37.1200,23620400
2013-01-31,33.8000,40.0000,33.0550,36.5100,25297800
2012-12-31,31.9000,33.4900,30.8600,33.1800,16200200
2012-11-30,30.8200,32.0000,28.9729,31.8200,23444600
2012-10-31,29.2800,33.0900,28.6200,31.0000,32665100
2012-09-28,29.0400,31.2400,28.5000,29.1950,28381400
2012-08-31,30.4218,31.2500,27.9300,29.1300,61248000
2012-07-31,34.4500,36.1100,29.2900,30.2800,34150200
2012-06-29,32.0100,37.0200,31.0150,34.3400,33635700
2012-05-31,32.4001,33.8100,31.0500,32.4700,21325100
2012-04-30,30.0200,33.5400,29.5800,32.3700,28907100
2012-03-30,29.1600,32.4400,28.1600,30.0800,33474700
2012-02-29,27.8900,30.1000,27.3600,29.0400,18991900
2012-01-31,25.2200,28.0000,24.3500,27.6500,15277500
2011-12-30,25.1500,25.7500,23.2400,24.9800,18108600
2011-11-30,27.5500,27.9900,24.3100,25.3000,32849000
2011-10-31,27.4000,29.9300,25.8000,29.1100,9724100
2011-09-30,26.2100,29.8500,25.0000,27.7000,18548500
2011-08-31,31.3659,31.9400,25.0000,26.3400,25628900
